gauge,start_index,end_index,length
701009,25,31,7
701009,33,63,31
704139,1,63,63
704193,7,63,57
705001,17,33,17
705001,35,63,29
707002,15,63,49
707005,29,63,35
708011,23,63,41
709010,28,63,36
710003,17,21,5
710003,25,63,39
710229,10,14,5
710229,18,19,2
710229,21,22,2
710229,24,29,6
710229,31,63,33
802055,24,63,40
804001,15,17,3
804001,20,21,2
804001,26,27,2
804001,30,56,27
809310,12,21,10
809310,25,40,16
809310,44,63,20
809315,13,21,9
809315,24,63,40
809316,13,17,5
809316,19,21,3
809316,25,40,16
809316,43,63,21
809321,18,21,4
809321,24,63,40
809322,18,21,4
809322,24,40,17
809322,42,63,22
912101A,12,37,26
912101A,39,55,17
912105A,11,29,19
912105A,34,35,2
912105A,39,52,14
915011A,14,18,5
915011A,20,24,5
915011A,26,29,4
915011A,31,35,5
915011A,41,42,2
915011A,48,56,9
915206A,12,29,18
915206A,34,62,29
917107A,11,34,24
917107A,36,40,5
917107A,42,44,3
917107A,48,63,16
919003A,10,31,22
919003A,35,37,3
919003A,43,63,21
919005A,11,30,20
919005A,34,36,3
919005A,39,63,25
919201A,10,30,21
919201A,36,38,3
919201A,40,56,17
919201A,58,63,6
919309A,10,31,22
919309A,39,40,2
919309A,42,46,5
919309A,49,63,15
925001A,1,28,28
925001A,36,40,5
925001A,42,62,21
926002A,13,28,16
926002A,34,63,30
A0020101,9,26,18
A0020101,32,63,32
A0030501,16,63,48
A2390519,14,61,48
A2390523,16,33,18
A2390523,35,55,21
A2390531,19,58,40
A2390531,60,63,4
A4260533,16,17,2
A4260533,19,32,14
A4260533,34,52,19
A4260533,59,61,3
A5030502,12,61,50
A5040523,20,23,4
A5040523,25,30,6
A5040523,36,63,28
A5050517,22,36,15
A5050517,39,47,9
A5050517,49,54,6
A5050517,56,62,7
A5060500,17,19,3
A5060500,21,48,28
A5060500,50,63,14
A5070500,12,18,7
A5070500,20,50,31
A5070500,53,62,10
A5070503,15,27,13
A5070503,32,33,2
A5070503,35,36,2
A5070503,43,51,9
A5070503,54,63,10
A5090503,20,37,18
A5090503,39,48,10
A5090503,51,59,9
A5090503,61,63,3
A5130501,16,51,36
A5130501,53,61,9
G0010005,8,15,8
G0010005,17,18,2
G0010005,22,34,13
G0010005,36,39,4
G0010005,42,43,2
G0010005,49,52,4
G0050115,15,59,45
G0060005,17,38,22
G0060005,40,50,11
G0060005,53,55,3
G8110004,7,14,8
G8110004,21,39,19
G8110004,48,50,3
G8110004,53,58,6
G8110004,62,63,2
G8140001,4,12,9
G8140001,15,16,2
G8140001,18,22,5
G8140001,28,29,2
G8140001,32,41,10
G8140001,45,54,10
G8140001,56,63,8
G8140008,3,5,3
G8140008,7,10,4
G8140008,12,13,2
G8140008,16,28,13
G8140008,34,35,2
G8140008,37,38,2
G8140008,41,43,3
G8140008,52,55,4
G8140008,57,59,3
G8140011,17,23,7
G8140011,25,26,2
G8140011,30,37,8
G8140011,48,58,11
G8140011,61,63,3
G8140040,12,14,3
G8140040,17,18,2
G8140040,21,26,6
G8140040,28,38,11
G8140040,41,53,13
G8140040,55,56,2
G8140040,58,63,6
G8140063,1,3,3
G8140063,5,9,5
G8140063,14,17,4
G8140063,20,34,15
G8140063,36,40,5
G8140063,43,63,21
G8140067,7,8,2
G8140067,11,16,6
G8140067,18,20,3
G8140067,24,26,3
G8140067,28,30,3
G8140067,34,40,7
G8140067,44,46,3
G8140067,48,54,7
G8140067,56,63,8
G8150010,17,29,13
G8150010,33,34,2
G8150010,36,50,15
G8150010,52,63,12
G8150098,8,9,2
G8150098,12,41,30
G8150098,43,44,2
G8150098,46,49,4
G8150098,57,63,7
G8150180,12,15,4
G8150180,20,33,14
G8150180,35,37,3
G8150180,40,42,3
G8150180,44,63,20
G8170002,8,12,5
G8170002,16,19,4
G8170002,23,26,4
G8170002,29,35,7
G8170002,37,40,4
G8170002,47,51,5
G8170002,53,63,11
G9070142,10,12,3
G9070142,15,16,2
G9070142,18,23,6
G9070142,25,26,2
G9070142,28,32,5
G9070142,35,37,3
G9070142,51,60,10
