gauge,streamflow_model,objective_function,parameter,parameter_values
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.0019013026000465904
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,5.155702726750963
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-7.1705852556157765
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,4.113808675819087
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,8.79088350464021e-5
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,5.1557036581557
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-9.414173536568285
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,4.11380630037246
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,1.5826515207161656e-5
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,5.155705329412616
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-9.414173536568285
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,4.11380630037246
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,1.5826515207161656e-5
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,5.155705329412616
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-9.414175751286734
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,4.113804393774728
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,2.8405883901028698e-5
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,5.155708101797219
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-9.414170328420823
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,4.113798448730051
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,3.974462318246396e-5
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,5.155709557697203
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-9.414157432081254
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,3.071109077481651
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,5.822830372308408e-4
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,5.433363717486018
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-17.587157067042256
